,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
133,María del Carmen,Marrero Marrero,Filología Francesa,0,,
134,Adriana Fabiola,Martín Cáceres,Derecho Financiero y Tributario,0,,
135,Matilde,Martín González,Filología Inglesa,0,,
70,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",7,"Time Use, Health, and Well-Being across the Life Cycle: A Gender AnalysisSocial Sciences, Vol. 13, Núm. 6",
69,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",7,"Stress, mental symptoms and well-being in students: a gender analysisFrontiers in Psychology, Vol. 15",
68,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",7,"Sexual Orientation, Health, and Well-Being in Spanish PeopleHealthcare (Switzerland), Vol. 12, Núm. 9",
67,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",7,"Intimate Partner Violence and Mental Distress, Post-Traumatic Stress Symptoms and Life Satisfaction in Colombian WomenBehavioral Sciences, Vol. 14, Núm. 10",
66,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",7,"Gender, psychological distress, and subjective well-being two years after the onset of the COVID-19 pandemic in SpainCadernos de Saude Publica, Vol. 40, Núm. 3",
65,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",7,"Gender Differences in Sexting and Its Association with Well-Being and Intimate Partner Violence Victimization from Adolescence to Old AgeSEXES, Vol. 5, Núm. 3, pp. 335-350",
64,María del Pilar Socorro,Matud Aznar,"Personalidad, Evaluación y Tratamiento Psicológico",7,"Adolescent Stress, Psychological Distress and Well-Being: A Gender AnalysisChild and Youth Services, Vol. 45, Núm. 3, pp. 300-323",
71,Laura María,Melián Chinea,Derecho del Trabajo y de la Seguridad Social,1,"Preguntas y respuestas sobre la concertación socialRevista de Derecho Laboral vLex (RDLV), Núm. 13, pp. 22-32",
